[Allreduce] id:0001, cur_start:1743602132.902159, cur_end:1743602158.198631, duration(s):25.296472, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000011
[Allreduce] id:0002, cur_start:1743602158.199915, cur_end:1743602164.041529, duration(s):5.841614, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):22.523320
[Allreduce] id:0003, cur_start:1743602179.095387, cur_end:1743602179.095477, duration(s):0.000090, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.010596
[Allreduce] id:0004, cur_start:1743602195.779901, cur_end:1743602225.887517, duration(s):30.107616, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):4.370075
[Allreduce] id:0005, cur_start:1743602226.358724, cur_end:1743602226.387289, duration(s):0.028565, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000033
[Allreduce] id:0006, cur_start:1743602234.959469, cur_end:1743602241.779648, duration(s):6.820179, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):0.376300
[Allreduce] id:0007, cur_start:1743602241.779846, cur_end:1743602242.375081, duration(s):0.595235, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):17.015626
[Allreduce] id:0008, cur_start:1743602242.375260, cur_end:1743602242.724644, duration(s):0.349384, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):36.249625
[Allreduce] id:0009, cur_start:1743602242.724825, cur_end:1743602243.101970, duration(s):0.377145, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):26.866830
[Allreduce] id:0010, cur_start:1743602243.102148, cur_end:1743602243.487976, duration(s):0.385828, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):32.825609
[Allreduce] id:0011, cur_start:1743602243.488161, cur_end:1743602243.874943, duration(s):0.386782, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):26.197420
