[Allreduce] id:0001, cur_start:1743602134.425794, cur_end:1743602158.195405, duration(s):23.769611, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000012
[Allreduce] id:0002, cur_start:1743602158.197265, cur_end:1743602164.041387, duration(s):5.844122, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):22.513654
[Allreduce] id:0003, cur_start:1743602178.608617, cur_end:1743602179.095435, duration(s):0.486818, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000002
[Allreduce] id:0004, cur_start:1743602197.547933, cur_end:1743602225.887432, duration(s):28.339499, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):4.642726
[Allreduce] id:0005, cur_start:1743602226.382110, cur_end:1743602226.387302, duration(s):0.005192, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000184
[Allreduce] id:0006, cur_start:1743602235.936625, cur_end:1743602241.798433, duration(s):5.861808, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):0.437823
[Allreduce] id:0007, cur_start:1743602241.798634, cur_end:1743602242.370303, duration(s):0.571669, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):17.717063
[Allreduce] id:0008, cur_start:1743602242.370464, cur_end:1743602242.771264, duration(s):0.400800, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):31.599399
[Allreduce] id:0009, cur_start:1743602242.771420, cur_end:1743602243.123204, duration(s):0.351784, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):28.803727
[Allreduce] id:0010, cur_start:1743602243.123390, cur_end:1743602243.490055, duration(s):0.366665, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):34.541173
[Allreduce] id:0011, cur_start:1743602243.490289, cur_end:1743602243.887840, duration(s):0.397551, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):25.487775
[Allreduce] id:0012, cur_start:1743602243.888009, cur_end:1743602244.311202, duration(s):0.423193, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):29.927336
[Allreduce] id:0013, cur_start:1743602244.311374, cur_end:1743602244.674503, duration(s):0.363129, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):27.903832
[Allreduce] id:0014, cur_start:1743602244.674670, cur_end:1743602245.112083, duration(s):0.437413, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):28.954419
[Allreduce] id:0015, cur_start:1743602245.112237, cur_end:1743602245.571030, duration(s):0.458793, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):22.085538
[Allreduce] id:0016, cur_start:1743602245.571219, cur_end:1743602245.983624, duration(s):0.412405, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):30.710198
[Allreduce] id:0017, cur_start:1743602245.983773, cur_end:1743602246.327858, duration(s):0.344085, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):29.448219
[Allreduce] id:0018, cur_start:1743602246.327989, cur_end:1743602246.904362, duration(s):0.576373, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):21.973686
[Allreduce] id:0019, cur_start:1743602246.904542, cur_end:1743602247.298438, duration(s):0.393896, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):25.724279
[Allreduce] id:0020, cur_start:1743602247.298584, cur_end:1743602247.696562, duration(s):0.397978, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):31.823465
[Allreduce] id:0021, cur_start:1743602247.696720, cur_end:1743602247.999463, duration(s):0.302743, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):33.469611
[Allreduce] id:0022, cur_start:1743602247.999626, cur_end:1743602248.495633, duration(s):0.496007, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):25.533993
[Allreduce] id:0023, cur_start:1743602248.495797, cur_end:1743602248.869867, duration(s):0.374070, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):27.087685
[Allreduce] id:0024, cur_start:1743602248.870017, cur_end:1743602249.256398, duration(s):0.386381, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):32.778628
[Allreduce] id:0025, cur_start:1743602249.256548, cur_end:1743602249.586885, duration(s):0.330337, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):30.673798
[Allreduce] id:0026, cur_start:1743602249.587044, cur_end:1743602249.953054, duration(s):0.366010, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):34.602986
[Allreduce] id:0027, cur_start:1743602249.953215, cur_end:1743602250.338405, duration(s):0.385190, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):26.305694
[Allreduce] id:0028, cur_start:1743602250.338557, cur_end:1743602250.826234, duration(s):0.487677, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):25.970138
[Allreduce] id:0029, cur_start:1743602250.826365, cur_end:1743602251.223305, duration(s):0.396940, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):25.527008
[Allreduce] id:0030, cur_start:1743602251.223481, cur_end:1743602251.531563, duration(s):0.308082, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):41.109312
[Allreduce] id:0031, cur_start:1743602251.531730, cur_end:1743602251.766636, duration(s):0.234906, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):43.135086
[Allreduce] id:0032, cur_start:1743602251.766789, cur_end:1743602252.053756, duration(s):0.286967, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):44.134131
[Allreduce] id:0033, cur_start:1743602252.053893, cur_end:1743602253.071386, duration(s):1.017493, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):9.958487
[Allreduce] id:0034, cur_start:1743602253.071545, cur_end:1743602253.535442, duration(s):0.463897, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):27.301403
[Allreduce] id:0035, cur_start:1743602253.535648, cur_end:1743602254.560006, duration(s):1.024358, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):9.891747
[Allreduce] id:0036, cur_start:1743602254.560201, cur_end:1743602255.047367, duration(s):0.487166, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):25.997379
[Allreduce] id:0037, cur_start:1743602255.047565, cur_end:1743602255.926412, duration(s):0.878847, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):11.529527
[Allreduce] id:0038, cur_start:1743602255.926618, cur_end:1743602256.347591, duration(s):0.420973, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):30.085158
[Allreduce] id:0039, cur_start:1743602256.347822, cur_end:1743602257.374711, duration(s):1.026889, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):9.867367
[Allreduce] id:0040, cur_start:1743602257.374924, cur_end:1743602257.803514, duration(s):0.428590, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):29.550477
[Allreduce] id:0041, cur_start:1743602257.803713, cur_end:1743602258.980142, duration(s):1.176429, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):8.613091
[Allreduce] id:0042, cur_start:1743602258.980345, cur_end:1743602259.415557, duration(s):0.435212, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):29.100850
[Allreduce] id:0043, cur_start:1743602259.415749, cur_end:1743602260.547759, duration(s):1.132010, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):8.951061
[Allreduce] id:0044, cur_start:1743602260.547962, cur_end:1743602260.843433, duration(s):0.295471, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):42.863899
[Allreduce] id:0045, cur_start:1743602260.843651, cur_end:1743602262.173622, duration(s):1.329971, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):7.618730
[Allreduce] id:0046, cur_start:1743602262.173809, cur_end:1743602262.543371, duration(s):0.369562, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):34.270404
[Allreduce] id:0047, cur_start:1743602262.543543, cur_end:1743602263.601092, duration(s):1.057549, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):9.581296
[Allreduce] id:0048, cur_start:1743602263.601275, cur_end:1743602263.995508, duration(s):0.394233, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):32.125771
[Allreduce] id:0049, cur_start:1743602263.995679, cur_end:1743602265.046098, duration(s):1.050419, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):9.646332
[Allreduce] id:0050, cur_start:1743602265.046304, cur_end:1743602265.431437, duration(s):0.385133, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):32.884845
[Allreduce] id:0051, cur_start:1743602265.431610, cur_end:1743602266.628575, duration(s):1.196965, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):8.465319
[Allreduce] id:0052, cur_start:1743602266.628732, cur_end:1743602266.995362, duration(s):0.366630, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):34.544470
[Allreduce] id:0053, cur_start:1743602266.995529, cur_end:1743602268.255669, duration(s):1.260140, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):8.040924
[Allreduce] id:0054, cur_start:1743602268.255885, cur_end:1743602268.659319, duration(s):0.403434, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):31.393088
[Allreduce] id:0055, cur_start:1743602268.659484, cur_end:1743602269.847553, duration(s):1.188069, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):8.528705
