[Allreduce] id:0001, cur_start:1744088242.029801, cur_end:1744088243.737155, duration(s):1.707354, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000325
[Allreduce] id:0002, cur_start:1744088243.738924, cur_end:1744088249.630417, duration(s):5.891493, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):44.665262
[Allreduce] id:0003, cur_start:1744088256.589037, cur_end:1744088256.631869, duration(s):0.042832, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000045
[Allreduce] id:0004, cur_start:1744088284.830267, cur_end:1744088292.066813, duration(s):7.236546, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):36.363354
[Allreduce] id:0005, cur_start:1744088292.360655, cur_end:1744088292.372554, duration(s):0.011899, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000160
[Allreduce] id:0006, cur_start:1744088306.680983, cur_end:1744088307.773612, duration(s):1.092629, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):4.697728
[Allreduce] id:0007, cur_start:1744088307.773912, cur_end:1744088308.134495, duration(s):0.360583, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):56.177334
[Allreduce] id:0008, cur_start:1744088308.134747, cur_end:1744088308.387201, duration(s):0.252454, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):100.335420
[Allreduce] id:0009, cur_start:1744088308.387561, cur_end:1744088308.655346, duration(s):0.267785, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):75.677804
[Allreduce] id:0010, cur_start:1744088308.655599, cur_end:1744088308.910875, duration(s):0.255276, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):99.226242
[Allreduce] id:0011, cur_start:1744088308.911105, cur_end:1744088309.187893, duration(s):0.276788, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):73.216255
[Allreduce] id:0012, cur_start:1744088309.188132, cur_end:1744088309.442515, duration(s):0.254383, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):99.574571
[Allreduce] id:0013, cur_start:1744088309.442815, cur_end:1744088309.728611, duration(s):0.285796, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):70.908553
[Allreduce] id:0014, cur_start:1744088309.728861, cur_end:1744088309.992713, duration(s):0.263852, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):96.001084
[Allreduce] id:0015, cur_start:1744088309.992944, cur_end:1744088310.259150, duration(s):0.266206, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):76.126687
[Allreduce] id:0016, cur_start:1744088310.259387, cur_end:1744088310.536188, duration(s):0.276801, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):91.510067
[Allreduce] id:0017, cur_start:1744088310.536552, cur_end:1744088310.811485, duration(s):0.274933, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):73.710253
[Allreduce] id:0018, cur_start:1744088310.811769, cur_end:1744088311.050325, duration(s):0.238556, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):106.180847
[Allreduce] id:0019, cur_start:1744088311.050547, cur_end:1744088311.342104, duration(s):0.291557, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):69.507441
[Allreduce] id:0020, cur_start:1744088311.342339, cur_end:1744088311.585934, duration(s):0.243595, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):103.984393
[Allreduce] id:0021, cur_start:1744088311.586159, cur_end:1744088311.880556, duration(s):0.294397, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):68.836914
[Allreduce] id:0022, cur_start:1744088311.880839, cur_end:1744088312.149955, duration(s):0.269116, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):94.123271
[Allreduce] id:0023, cur_start:1744088312.150332, cur_end:1744088312.424843, duration(s):0.274511, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):73.823566
[Allreduce] id:0024, cur_start:1744088312.425096, cur_end:1744088312.664674, duration(s):0.239578, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):105.727897
[Allreduce] id:0025, cur_start:1744088312.664916, cur_end:1744088312.932331, duration(s):0.267415, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):75.782514
[Allreduce] id:0026, cur_start:1744088312.932592, cur_end:1744088313.185482, duration(s):0.252890, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):100.162435
[Allreduce] id:0027, cur_start:1744088313.185733, cur_end:1744088313.456756, duration(s):0.271023, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):74.773657
[Allreduce] id:0028, cur_start:1744088313.456976, cur_end:1744088313.723760, duration(s):0.266784, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):94.946017
[Allreduce] id:0029, cur_start:1744088313.723980, cur_end:1744088314.002205, duration(s):0.278225, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):72.838102
[Allreduce] id:0030, cur_start:1744088314.002489, cur_end:1744088314.286486, duration(s):0.283997, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):89.191358
[Allreduce] id:0031, cur_start:1744088314.286741, cur_end:1744088314.556344, duration(s):0.269603, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):75.167490
[Allreduce] id:0032, cur_start:1744088314.556570, cur_end:1744088314.822524, duration(s):0.265954, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):95.242328
[Allreduce] id:0033, cur_start:1744088314.822772, cur_end:1744088315.116943, duration(s):0.294171, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):68.889798
[Allreduce] id:0034, cur_start:1744088315.117290, cur_end:1744088315.385116, duration(s):0.267826, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):94.576621
[Allreduce] id:0035, cur_start:1744088315.385343, cur_end:1744088315.674327, duration(s):0.288984, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):70.126308
[Allreduce] id:0036, cur_start:1744088315.674563, cur_end:1744088315.945258, duration(s):0.270695, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):93.574237
