[Allreduce] id:0001, cur_start:1744006277.703022, cur_end:1744006278.454826, duration(s):0.751804, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000369
[Allreduce] id:0002, cur_start:1744006278.455101, cur_end:1744006280.161960, duration(s):1.706859, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):77.084598
[Allreduce] id:0003, cur_start:1744006294.421089, cur_end:1744006294.950902, duration(s):0.529813, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000002
[Allreduce] id:0004, cur_start:1744006306.728667, cur_end:1744006310.767666, duration(s):4.038999, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):32.575532
[Allreduce] id:0005, cur_start:1744006311.272887, cur_end:1744006311.272937, duration(s):0.000050, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.019073
[Allreduce] id:0006, cur_start:1744006318.205034, cur_end:1744006318.829145, duration(s):0.624111, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):4.112148
[Allreduce] id:0007, cur_start:1744006318.829422, cur_end:1744006318.948502, duration(s):0.119080, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):85.054551
[Allreduce] id:0008, cur_start:1744006318.948861, cur_end:1744006319.268252, duration(s):0.319391, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):39.653713
[Allreduce] id:0009, cur_start:1744006319.268695, cur_end:1744006319.328828, duration(s):0.060133, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):168.504655
[Allreduce] id:0010, cur_start:1744006319.329246, cur_end:1744006319.397003, duration(s):0.067757, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):186.918533
[Allreduce] id:0011, cur_start:1744006319.397247, cur_end:1744006319.463420, duration(s):0.066173, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):153.124241
[Allreduce] id:0012, cur_start:1744006319.463684, cur_end:1744006319.570199, duration(s):0.106515, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.903808
[Allreduce] id:0013, cur_start:1744006319.570490, cur_end:1744006319.670535, duration(s):0.100045, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):101.281328
