[Allreduce] id:0001, cur_start:1744006276.323622, cur_end:1744006278.455062, duration(s):2.131440, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000130
[Allreduce] id:0002, cur_start:1744006278.455497, cur_end:1744006280.161490, duration(s):1.705993, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):77.123728
[Allreduce] id:0003, cur_start:1744006294.938626, cur_end:1744006294.950882, duration(s):0.012256, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000078
[Allreduce] id:0004, cur_start:1744006306.360887, cur_end:1744006310.767786, duration(s):4.406899, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):29.856037
[Allreduce] id:0005, cur_start:1744006311.270253, cur_end:1744006311.272927, duration(s):0.002674, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000357
[Allreduce] id:0006, cur_start:1744006317.872369, cur_end:1744006318.829463, duration(s):0.957094, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):2.681489
[Allreduce] id:0007, cur_start:1744006318.829851, cur_end:1744006318.947869, duration(s):0.118018, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):85.819925
[Allreduce] id:0008, cur_start:1744006318.948097, cur_end:1744006319.268885, duration(s):0.320788, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):39.481025
[Allreduce] id:0009, cur_start:1744006319.269305, cur_end:1744006319.328778, duration(s):0.059473, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):170.374631
[Allreduce] id:0010, cur_start:1744006319.329337, cur_end:1744006319.395956, duration(s):0.066619, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):190.111516
[Allreduce] id:0011, cur_start:1744006319.396237, cur_end:1744006319.462259, duration(s):0.066022, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):153.474454
[Allreduce] id:0012, cur_start:1744006319.462493, cur_end:1744006319.569965, duration(s):0.107472, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):117.845011
[Allreduce] id:0013, cur_start:1744006319.570332, cur_end:1744006319.670908, duration(s):0.100576, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):100.746604
[Allreduce] id:0014, cur_start:1744006319.671341, cur_end:1744006319.766055, duration(s):0.094714, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):133.718765
[Allreduce] id:0015, cur_start:1744006319.766298, cur_end:1744006319.861455, duration(s):0.095157, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.483921
[Allreduce] id:0016, cur_start:1744006319.861806, cur_end:1744006319.978732, duration(s):0.116926, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):108.316705
