[Allreduce] id:0001, cur_start:1743602133.503419, cur_end:1743602158.195539, duration(s):24.692120, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000011
[Allreduce] id:0002, cur_start:1743602158.197339, cur_end:1743602164.041391, duration(s):5.844052, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):22.513924
[Allreduce] id:0003, cur_start:1743602178.726294, cur_end:1743602179.095429, duration(s):0.369135, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000003
[Allreduce] id:0004, cur_start:1743602196.155799, cur_end:1743602225.887436, duration(s):29.731637, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):4.425338
[Allreduce] id:0005, cur_start:1743602226.377413, cur_end:1743602226.387306, duration(s):0.009893, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000096
[Allreduce] id:0006, cur_start:1743602235.321021, cur_end:1743602241.814423, duration(s):6.493402, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):0.395238
[Allreduce] id:0007, cur_start:1743602241.814609, cur_end:1743602242.348994, duration(s):0.534385, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):18.953182
[Allreduce] id:0008, cur_start:1743602242.349153, cur_end:1743602242.763214, duration(s):0.414061, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):30.587375
[Allreduce] id:0009, cur_start:1743602242.763359, cur_end:1743602243.133710, duration(s):0.370351, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):27.359695
[Allreduce] id:0010, cur_start:1743602243.133864, cur_end:1743602243.516221, duration(s):0.382357, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):33.123597
[Allreduce] id:0011, cur_start:1743602243.516383, cur_end:1743602243.905667, duration(s):0.389284, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):26.029044
[Allreduce] id:0012, cur_start:1743602243.905830, cur_end:1743602244.292474, duration(s):0.386644, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):32.756332
[Allreduce] id:0013, cur_start:1743602244.292623, cur_end:1743602244.683127, duration(s):0.390504, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):25.947725
[Allreduce] id:0014, cur_start:1743602244.683275, cur_end:1743602245.103437, duration(s):0.420162, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):30.143228
[Allreduce] id:0015, cur_start:1743602245.103591, cur_end:1743602245.591535, duration(s):0.487944, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):20.766093
