[Allreduce] id:0001, cur_start:1744088242.713003, cur_end:1744088244.019236, duration(s):1.306233, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000425
[Allreduce] id:0002, cur_start:1744088244.019603, cur_end:1744088249.630554, duration(s):5.610951, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):46.898481
[Allreduce] id:0003, cur_start:1744088256.589051, cur_end:1744088256.631857, duration(s):0.042806, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000045
[Allreduce] id:0004, cur_start:1744088286.672748, cur_end:1744088292.066910, duration(s):5.394162, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):48.783311
[Allreduce] id:0005, cur_start:1744088292.368206, cur_end:1744088292.372568, duration(s):0.004362, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000437
[Allreduce] id:0006, cur_start:1744088307.735015, cur_end:1744088307.773613, duration(s):0.038598, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):132.982889
[Allreduce] id:0007, cur_start:1744088308.018453, cur_end:1744088308.134705, duration(s):0.116252, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):174.247254
[Allreduce] id:0008, cur_start:1744088308.261432, cur_end:1744088308.387400, duration(s):0.125968, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):201.083435
[Allreduce] id:0009, cur_start:1744088308.533633, cur_end:1744088308.655549, duration(s):0.121916, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):166.224129
[Allreduce] id:0010, cur_start:1744088308.786172, cur_end:1744088308.911107, duration(s):0.124935, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):202.746053
[Allreduce] id:0011, cur_start:1744088309.066050, cur_end:1744088309.188125, duration(s):0.122075, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):166.007625
[Allreduce] id:0012, cur_start:1744088309.325909, cur_end:1744088309.442736, duration(s):0.116827, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):216.816987
[Allreduce] id:0013, cur_start:1744088309.606277, cur_end:1744088309.728805, duration(s):0.122528, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):165.393876
[Allreduce] id:0014, cur_start:1744088309.864135, cur_end:1744088309.992908, duration(s):0.128773, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):196.703332
[Allreduce] id:0015, cur_start:1744088310.135900, cur_end:1744088310.259360, duration(s):0.123460, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):164.145317
[Allreduce] id:0016, cur_start:1744088310.412256, cur_end:1744088310.536414, duration(s):0.124158, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):204.014869
[Allreduce] id:0017, cur_start:1744088310.687835, cur_end:1744088310.811691, duration(s):0.123856, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):163.620502
