[Allreduce] id:0001, cur_start:1743940689.162964, cur_end:1743940689.438656, duration(s):0.275692, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.001007
[Allreduce] id:0002, cur_start:1743940689.791730, cur_end:1743940691.612037, duration(s):1.820307, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):72.280412
[Allreduce] id:0003, cur_start:1743940707.330154, cur_end:1743940708.015923, duration(s):0.685769, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000001
[Allreduce] id:0004, cur_start:1743940719.789359, cur_end:1743940721.795429, duration(s):2.006070, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):65.587213
[Allreduce] id:0005, cur_start:1743940722.810680, cur_end:1743940722.814073, duration(s):0.003393, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000281
[Allreduce] id:0006, cur_start:1743940729.607991, cur_end:1743940730.475019, duration(s):0.867028, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):2.960039
[Allreduce] id:0007, cur_start:1743940730.475304, cur_end:1743940730.600023, duration(s):0.124719, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):81.208925
[Allreduce] id:0008, cur_start:1743940730.600309, cur_end:1743940730.716443, duration(s):0.116134, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):109.055393
[Allreduce] id:0009, cur_start:1743940730.716633, cur_end:1743940730.820848, duration(s):0.104215, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.228714
[Allreduce] id:0010, cur_start:1743940730.821132, cur_end:1743940730.922181, duration(s):0.101049, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):125.335620
[Allreduce] id:0011, cur_start:1743940730.922383, cur_end:1743940731.009997, duration(s):0.087614, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):115.651499
[Allreduce] id:0012, cur_start:1743940731.010167, cur_end:1743940731.109309, duration(s):0.099142, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):127.746455
[Allreduce] id:0013, cur_start:1743940731.109485, cur_end:1743940731.250975, duration(s):0.141490, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):71.614181
[Allreduce] id:0014, cur_start:1743940731.251279, cur_end:1743940731.315322, duration(s):0.064043, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):197.758366
[Allreduce] id:0015, cur_start:1743940731.315465, cur_end:1743940731.419028, duration(s):0.103563, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.840835
[Allreduce] id:0016, cur_start:1743940731.419234, cur_end:1743940731.517036, duration(s):0.097802, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):129.496729
[Allreduce] id:0017, cur_start:1743940731.517261, cur_end:1743940731.620874, duration(s):0.103613, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.793621
[Allreduce] id:0018, cur_start:1743940731.621015, cur_end:1743940731.724583, duration(s):0.103568, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):122.287184
[Allreduce] id:0019, cur_start:1743940731.724839, cur_end:1743940731.823326, duration(s):0.098487, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.883532
[Allreduce] id:0020, cur_start:1743940731.823505, cur_end:1743940731.930946, duration(s):0.107441, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):117.879013
[Allreduce] id:0021, cur_start:1743940731.931082, cur_end:1743940732.036195, duration(s):0.105113, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):96.398071
[Allreduce] id:0022, cur_start:1743940732.036401, cur_end:1743940732.153157, duration(s):0.116756, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):108.474417
[Allreduce] id:0023, cur_start:1743940732.153281, cur_end:1743940732.249651, duration(s):0.096370, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.143618
[Allreduce] id:0024, cur_start:1743940732.249798, cur_end:1743940732.356385, duration(s):0.106587, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.823488
[Allreduce] id:0025, cur_start:1743940732.356673, cur_end:1743940732.458976, duration(s):0.102303, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):99.045878
[Allreduce] id:0026, cur_start:1743940732.459228, cur_end:1743940732.566435, duration(s):0.107207, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):118.136307
[Allreduce] id:0027, cur_start:1743940732.566605, cur_end:1743940732.660328, duration(s):0.093723, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):108.113168
[Allreduce] id:0028, cur_start:1743940732.660545, cur_end:1743940732.761589, duration(s):0.101044, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):125.341822
[Allreduce] id:0029, cur_start:1743940732.761781, cur_end:1743940732.857769, duration(s):0.095988, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):105.562054
[Allreduce] id:0030, cur_start:1743940732.857986, cur_end:1743940732.951874, duration(s):0.093888, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):134.895184
[Allreduce] id:0031, cur_start:1743940732.952115, cur_end:1743940733.047151, duration(s):0.095036, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):106.619496
