[Allreduce] id:0001, cur_start:1744006277.787462, cur_end:1744006278.454851, duration(s):0.667389, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000416
[Allreduce] id:0002, cur_start:1744006278.455102, cur_end:1744006280.161973, duration(s):1.706871, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):77.084056
[Allreduce] id:0003, cur_start:1744006294.490194, cur_end:1744006294.950898, duration(s):0.460704, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000002
[Allreduce] id:0004, cur_start:1744006306.612146, cur_end:1744006310.767647, duration(s):4.155501, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):31.662257
[Allreduce] id:0005, cur_start:1744006311.269675, cur_end:1744006311.272940, duration(s):0.003265, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000292
[Allreduce] id:0006, cur_start:1744006318.804815, cur_end:1744006318.829198, duration(s):0.024383, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):105.255168
[Allreduce] id:0007, cur_start:1744006318.904762, cur_end:1744006319.220054, duration(s):0.315292, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):32.123542
[Allreduce] id:0008, cur_start:1744006319.220426, cur_end:1744006319.268288, duration(s):0.047862, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):264.615751
[Allreduce] id:0009, cur_start:1744006319.268694, cur_end:1744006319.330251, duration(s):0.061557, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):164.606632
[Allreduce] id:0010, cur_start:1744006319.330630, cur_end:1744006319.396633, duration(s):0.066003, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):191.885809
[Allreduce] id:0011, cur_start:1744006319.396829, cur_end:1744006319.463180, duration(s):0.066351, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):152.713455
[Allreduce] id:0012, cur_start:1744006319.463511, cur_end:1744006319.570893, duration(s):0.107382, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):117.943781
