[Allreduce] id:0001, cur_start:1743940689.205684, cur_end:1743940689.492192, duration(s):0.286508, ele_sz(B):4, cnt:291, total(MB):0.001110, avg_bw(MB/s):0.000969
[Allreduce] id:0002, cur_start:1743940690.237222, cur_end:1743940691.612143, duration(s):1.374921, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):95.694618
[Allreduce] id:0003, cur_start:1743940707.492804, cur_end:1743940708.015902, duration(s):0.523098, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.000002
[Allreduce] id:0004, cur_start:1743940720.222476, cur_end:1743940721.796234, duration(s):1.573758, ele_sz(B):4, cnt:674834720, total(MB):-1521.709839, avg_bw(MB/s):83.604049
[Allreduce] id:0005, cur_start:1743940722.814026, cur_end:1743940722.814090, duration(s):0.000064, ele_sz(B):4, cnt:1, total(MB):0.000004, avg_bw(MB/s):0.014901
[Allreduce] id:0006, cur_start:1743940730.109868, cur_end:1743940730.475169, duration(s):0.365301, ele_sz(B):4, cnt:2691104, total(MB):10.265747, avg_bw(MB/s):7.025540
[Allreduce] id:0007, cur_start:1743940730.475364, cur_end:1743940730.601858, duration(s):0.126494, ele_sz(B):4, cnt:10620288, total(MB):40.513184, avg_bw(MB/s):80.069378
[Allreduce] id:0008, cur_start:1743940730.602090, cur_end:1743940730.716513, duration(s):0.114423, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):110.686130
[Allreduce] id:0009, cur_start:1743940730.716668, cur_end:1743940730.822594, duration(s):0.105926, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):95.658199
[Allreduce] id:0010, cur_start:1743940730.822822, cur_end:1743940730.921498, duration(s):0.098676, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):128.349741
[Allreduce] id:0011, cur_start:1743940730.921824, cur_end:1743940731.010799, duration(s):0.088975, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):113.882444
[Allreduce] id:0012, cur_start:1743940731.011016, cur_end:1743940731.109366, duration(s):0.098350, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):128.775181
[Allreduce] id:0013, cur_start:1743940731.109526, cur_end:1743940731.251651, duration(s):0.142125, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):71.294216
[Allreduce] id:0014, cur_start:1743940731.251927, cur_end:1743940731.315367, duration(s):0.063440, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):199.638068
[Allreduce] id:0015, cur_start:1743940731.315517, cur_end:1743940731.419884, duration(s):0.104367, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):97.087110
[Allreduce] id:0016, cur_start:1743940731.420051, cur_end:1743940731.518068, duration(s):0.098017, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):129.212678
[Allreduce] id:0017, cur_start:1743940731.518358, cur_end:1743940731.621393, duration(s):0.103035, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):98.342218
[Allreduce] id:0018, cur_start:1743940731.621594, cur_end:1743940731.724839, duration(s):0.103245, ele_sz(B):4, cnt:13280256, total(MB):50.660156, avg_bw(MB/s):122.669757
[Allreduce] id:0019, cur_start:1743940731.725051, cur_end:1743940731.824170, duration(s):0.099119, ele_sz(B):4, cnt:10624896, total(MB):40.530762, avg_bw(MB/s):102.227529
